Lagerstroemia indica, not metaphorical, multiword expression
Balkan bear’s breeches, metaphorical, multiword expression
Solfatare, not metaphorical, not multiword expression
City of Haarlem, not metaphorical, multiword expression
Petunia, not metaphorical, not multiword expression
Muehlenbeckia complexa, not metaphorical, multiword expression
Lavatera assurgentiﬂora, not metaphorical, multiword expression
Tropaeolum majus Alaska Series, metaphorical, multiword expression
Watereri, not metaphorical, not multiword expression
Hovenia dulcis, not metaphorical, multiword expression
Sorbus reducta, not metaphorical, multiword expression
Tib, not metaphorical, not multiword expression
Fryleyeca, not metaphorical, not multiword expression
Baby’s toes, metaphorical, multiword expression
Aureomarginata, not metaphorical, not multiword expression
Blackie, metaphorical, not multiword expression
Parrot’s ﬂower, metaphorical, multiword expression
Dwarf pomegranate, not metaphorical, multiword expression
Hieracium lanatum, not metaphorical, multiword expression
Heliotropium arborescens, not metaphorical, multiword expression
Chives, not metaphorical, not multiword expression
Alcea, not metaphorical, not multiword expression
Meliosma veitchiorum, not metaphorical, multiword expression
Pinus rigida, metaphorical, multiword expression
Telopea truncate, metaphorical, multiword expression
Goldtau, metaphorical, not multiword expression
Yellow Trumpet, metaphorical, multiword expression
Stachys byzantina, not metaphorical, multiword expression
Cantab, not metaphorical, not multiword expression
Tiptoe, metaphorical, not multiword expression
Anemone sylvestris, not metaphorical, multiword expression
Ligularia przewalskii, not metaphorical, multiword expression
Gold dust, metaphorical, multiword expression
Pelargoniums, not metaphorical, not multiword expression
Aksullo, not metaphorical, not multiword expression
Nemophila menziesii, not metaphorical, multiword expression
Acaena saccaticupula, not metaphorical, multiword expression
Butomus umbellatus, not metaphorical, multiword expression
Lobelia erinus Waterfall Series, not metaphorical, multiword expression
Lobster cactus, not metaphorical, not multiword expression
Inchmery, not metaphorical, not multiword expression
Labiatae, not metaphorical, not multiword expression
Bishop’s cap, metaphorical, multiword expression
Ranunculus gramineus, not metaphorical, multiword expression
Jennifer Ann, not metaphorical, multiword expression
Inula royleana, not metaphorical, multiword expression
Fern-leaved beech, not metaphorical, multiword expression
x Petchoa Supercal Series supercal, not metaphorical, multiword expression
Cat’s valerian, metaphorical, multiword expression
Kanzan, not metaphorical, not multiword expression
Rhodanthe, metaphorical, multiword expression
Paul M. Wild, not metaphorical, multiword expression
Shagbark hickory, not metaphorical, multiword expression
Calochortus luteus, not metaphorical, multiword expression
Penstemon newberryi f. humilior, not metaphorical, multiword expression
Spiraea japonica var. albiflora, not metaphorical, multiword expression
Barbados gooseberry, not metaphorical, multiword expression
Tiger Woods, metaphorical, multiword expression
Blue cardinal ﬂower, metaphorical, multiword expression
Epigaea asiatica, not metaphorical, multiword expression
Erythrina x bidwillii, not metaphorical, multiword expression
Muscari latifolium, not metaphorical, multiword expression
Dicksonii, not metaphorical, not multiword expression
Colchicum agrippinum, not metaphorical, multiword expression
Leonotis leonurus, not metaphorical, multiword expression
Sedum rupestre, not metaphorical, multiword expression
Salix babylonica var. Pekinensis, metaphorical, multiword expression
Moonstones, metaphorical, not multiword expression
Nymansay, not metaphorical, not multiword expression
Milady Super Series, not metaphorical, multiword expression
Ixia viridiflora, not metaphorical, multiword expression
Holger, not metaphorical, not multiword expression
Chinese fan palm, metaphorical, multiword expression
Milas, not metaphorical, not multiword expression
Min, not metaphorical, not multiword expression
Antirrhinum majus Liberty Classic, metaphorical, multiword expression
Hamari gold, metaphorical, multiword expression
Caladium bicolor, not metaphorical, multiword expression
Ourisia coccinea, not metaphorical, multiword expression
Cryptanthus bivittatus, not metaphorical, multiword expression
Calycanthus occidentalis, not metaphorical, multiword expression
Bloodgood, metaphorical, not multiword expression
Plectranthus fructicosus, not metaphorical, multiword expression
Antirrhinum, not metaphorical, not multiword expression
Tiger ﬂower, metaphorical, multiword expression
Chorisia speciose, not metaphorical, multiword expression
Macrantha, not metaphorical, not multiword expression
Album, metaphorical, not multiword expression
Stratosphere, metaphorical, not multiword expression
Zéphirine Drouhin, not metaphorical, multiword expression
x A. Dark Warrior gx, not metaphorical, multiword expression
Berberis thunbergii f. atropurpurea, not metaphorical, multiword expression
S. x pérsica, not metaphorical, multiword expression
Anthyllis montana, not metaphorical, multiword expression
Herald’s trumpet, metaphorical, multiword expression
Myersii, not metaphorical, not multiword expression
Potentilla fruticosa, metaphorical, multiword expression
Sweet buckeye, metaphorical, multiword expression
Kalmia angustifolia f. rubra, not metaphorical, multiword expression
subsp. Serpyllifolia, not metaphorical, multiword expression
Summer Wine, metaphorical, multiword expression
Elaeagnus ebbingei, not metaphorical, multiword expression
S. megalocarpa, not metaphorical, multiword expression
Pereskia grandifolia, not metaphorical, multiword expression
Diascia ice cracker, metaphorical, multiword expression
Angelica,  metaphorical, not multiword expression
Ficus deltoidea, not metaphorical, multiword expression
Euphorbia characias subsp. wulfenii, not metaphorical, multiword expression
Stellata, metaphorical, not multiword expression
Deutzia gracilis, metaphorical, multiword expression
Cryptomeria japonica, not metaphorical, multiword expression
Silver Milkmaid, metaphorical, multiword expression
Lensing’s Favorite, not metaphorical, multiword expression
Grandidentatum, not metaphorical, not multiword expression
Rosa Sieger, not metaphorical, multiword expression
Lysionotus pauciflorus, not metaphorical, multiword expression
Cheddar gold, metaphorical, multiword expression
Veitchii, not metaphorical, not multiword expression
Duranta erecta, not metaphorical, multiword expression
Veronica gentianoides, not metaphorical, multiword expression
Jack Shahan, metaphorical, multiword expression
Umbellifera, not metaphorical, not multiword expression
Vinca, not metaphorical, not multiword expression
B. colvilei, not metaphorical, multiword expression
Impatiens tinctoria, not metaphorical, multiword expression
Tropaeolum majus, metaphorical, multiword expression
White baneberry, not metaphorical, multiword expression
x Cuprocyparis, not metaphorical, multiword expression
Evening Star, metaphorical, multiword expression
Paraserianthes lophantha, not metaphorical, multiword expression
Vaccinium vitis-idaea subsp. minus, not metaphorical, multiword expression
Bear’s breeches, metaphorical, multiword expression
Terracotta, metaphorical, not multiword expression
Cinnabar Silver, metaphorical, multiword expression
Superba, metaphorical, not multiword expression
Purple velvet plant, metaphorical, multiword expression
Hill Poe, metaphorical, multiword expression
Cassata, metaphorical, not multiword expression
Pigeonberry, not metaphorical, not multiword expression
Vossii, not metaphorical, not multiword expression
Rain daisy, not metaphorical, multiword expression
Valerie finnis, not metaphorical, multiword expression
Lithophragma parviﬂorum, not metaphorical, multiword expression
HS Romeo, metaphorical, multiword expression
Fastigiata, not metaphorical, not multiword expression
Petchoa Supercal Series, not metaphorical, multiword expression
Moluccella laevis, not metaphorical, multiword expression
Lysimachia clethroides, not metaphorical, multiword expression
Juniperus recurve, not metaphorical, multiword expression
Point Reyes, metaphorical, multiword expression
Jacob’s ladder, not metaphorical, multiword expression
Phalaenopsis Lady Pink Lips gx, metaphorical, multiword expression
Hawera, not metaphorical, not multiword expression
Cliveden beauty, metaphorical, multiword expression
Picea abies, not metaphorical, multiword expression
Curcuma petiolate, not metaphorical, multiword expression
Tigridia pavonia, not metaphorical, multiword expression
Zebra plant, metaphorical, multiword expression
Postford White, not metaphorical, multiword expression
New dimension, metaphorical, multiword expression
Deutzia monbeigii, not metaphorical, multiword expression
Canoe birch, not metaphorical, multiword expression
Vinca major, not metaphorical, multiword expression
Selaginella kraussiana, not metaphorical, multiword expression
Madame A. Meilland, not metaphorical, multiword expression
Nothofagus betuloides, not metaphorical, multiword expression
Harvintage, not metaphorical, not multiword expression
Camelliifolia, not metaphorical, not multiword expression
Sedum caeruleum, not metaphorical, multiword expression
Spiranthes cernua, not metaphorical, multiword expression
Cape leadwort, metaphorical, multiword expression
Allium senescens subsp. montanum, not metaphorical, multiword expression
Saxifraga stolonifera, not metaphorical, multiword expression
Epacris impressa, not metaphorical, multiword expression
Pewter, not metaphorical, not multiword expression
Nicandra physalodes, not metaphorical, multiword expression
Blackbird, metaphorical, not multiword expression
Japanese raisintree, not metaphorical, multiword expression
Firecracker, metaphorical, not multiword expression
C. kousa var. chinensis, not metaphorical, multiword expression
Alangiacea, not metaphorical, not multiword expression
Mrs. Jessie Cooper, not metaphorical , multiword expression
Abu Hassan, not metaphorical, multiword expression
Strobilanthes atropurpureus, not metaphorical, multiword expression
Hubert Edelsten, not metaphorical, multiword expression
Philesia magellanica, not metaphorical, multiword expression
African hemp, not metaphorical, multiword expression
Osteospermum ecklonis, not metaphorical, multiword expression
False anemone, metaphorical, multiword expression
Fraiche Beauté, metaphorical, multiword expression
Potentilla megalantha, metaphorical, multiword expression
Silene coeli-rosa, not metaphorical, multiword expression
Mammillaria bocasana, not metaphorical, multiword expression
Acer ruﬁnerve, not metaphorical, multiword expression
B. x weyeriana, not metaphorical, multiword expression
Olearia virgate, not metaphorical, multiword expression
Cheam, not metaphorical, not multiword expression
Loddon Gold, metaphorical, multiword expression
Chocolate vine, metaphorical, multiword expression
Purple Dome, metaphorical, multiword expression
Arendsii, not metaphorical, not multiword expression
Fransisca, not metaphorical, not multiword expression
Sumatra, not metaphorical, not multiword expression
Belladonna Lily, not metaphorical, multiword expression
Salmon Supreme, metaphorical, multiword expression
Abelia floribunda, not metaphorical, multiword expression
Aglaonema commutatum, not metaphorical, multiword expression
Berggarten, not metaphorical, not multiword expression
Karen North, not metaphorical, multiword expression
Lithops schwantesii, not metaphorical, multiword expression
Walhelivor, not metaphorical, not multiword expression
Camassia leichtlinii, not metaphorical, multiword expression
Robert Bloom, not metaphorical, multiword expression
Natascha, not metaphorical, not multiword expression
Polygala calcarea, not metaphorical, multiword expression
Dawn, metaphorical, not multiword expression
Nymphoides peltata, not metaphorical, multiword expression
Alva’s Supreme, metaphorical, multiword expression
Black bamboo, not metaphorical, multiword expression
Bhutan pine, not metaphorical, multiword expression
Multicolor, metaphorical, not multiword expression
Dawn Ansell, metaphorical, multiword expression
Bernice, not metaphorical, not multiword expression
Rose Queen, not metaphorical, multiword expression
Common valerian, not metaphorical, multiword expression
Cyclamen mirabile, metaphorical, multiword expression
Euonymus fortune, not metaphorical, multiword expression
Sandersonia aurantiaca, not metaphorical, multiword expression
Gymnocladus dioica, not metaphorical, multiword expression
Nothofagus dombeyi, not metaphorical, multiword expression
Charisma red, metaphorical, multiword expression
Jan Lindmark, not metaphorical, multiword expression
Valda Wyatt, not metaphorical, multiword expression
Blue Beauty, metaphorical, multiword expression
Snowman, metaphorical, not multiword expression
Flame creeper,  metaphorical, multiword expression
Mount Hood, metaphorical, multiword expression
Andeli, not metaphorical, not multiword expression
Veronica beccabunga, not metaphorical, multiword expression
Acca sellowiana, not metaphorical, multiword expression
Papal Purple, not metaphorical, multiword expression
Eucalyptus pauciﬂora, not metaphorical, multiword expression
Spaethii, not metaphorical, not multiword expression
Peter Davis, not metaphorical, multiword expression
Caltha palustris, not metaphorical, multiword expression
Regalia Chocolate, metaphorical, multiword expression
Woodside, metaphorical, not multiword expression
Gerrie Hoek, not metaphorical, multiword expression
Prostanthera rotundifolia, not metaphorical, multiword expression
Primula prolifera, not metaphorical, multiword expression
Bright Eyes, metaphorical, multiword expression
Julie one, metaphorical, multiword expression
Physoplexis comosa, not metaphorical, multiword expression
Ground Master, metaphorical, multiword expression
Yellow asphodel, not metaphorical, multiword expression
Lithops dorotheae, not metaphorical, multiword expression
Libelle, not metaphorical, not multiword expression
Empress of Ireland, not metaphorical, multiword expression
Jovibarba hirta, not metaphorical, multiword expression
Red Ace, not metaphorical, multiword expression
Bearded bellﬂower, metaphorical, multiword expression
Ephedra gerardiana, not metaphorical, multiword expression
Faucaria tigrina, not metaphorical, multiword expression
Staphylea holocarpa, not metaphorical, multiword expression
Crimson King, metaphorical, multiword expression
Fusilier, not metaphorical, not multiword expression
Asclepias tuberosa, not metaphorical, multiword expression
Ehretia dicksonii, not metaphorical, multiword expression
Salvia farinácea, not metaphorical, multiword expression
Cortaderia, not metaphorical, multiword expression
Lewisia rediviva, not metaphorical, multiword expression
Pleioblastus viridistriatus, not metaphorical, multiword expression
Conca d’Or, metaphorical, multiword expression
Firmiana simplex, not metaphorical, multiword expression
Omphalodes linifolia, not metaphorical, multiword expression
Lucky Break, metaphorical, multiword expression
Hacquetia epipactis, not metaphorical, multiword expression
Ricinus communis, not metaphorical, multiword expression
Agapanthus praecox subsp. orientalis, not metaphorical, multiword expression
Xanthoceras sorbifolium, not metaphorical, multiword expression
Sea Urchin, not metaphorical, multiword expression
Matteuccia struthiopteris, not metaphorical, multiword expression
Black sarana, metaphorical, multiword expression
Cherry Bells, metaphorical, not multiword expression
Artist, metaphorical, not multiword expression
Schisandra rubriflora, not metaphorical, multiword expression
Lance Corporal, metaphorical, multiword expression
Asparagus densiﬂorus, not metaphorical, multiword expression
Trident maple, not metaphorical, multiword expression
Eschscholzia caespitose, not metaphorical, multiword expression
Red giant, metaphorical, multiword expression
Wrexham Buttercup, not metaphorical, multiword expression
Chinese-lantern lily, not metaphorical, multiword expression
Deschampsisa cespitosa, not metaphorical, multiword expression
Acer carpinifolium, not metaphorical, multiword expression
Osteospermum, not metaphorical, not multiword expression
Crocuses, not metaphorical, not multiword expression
Mescal button, not metaphorical, multiword expression
Western yellow pine, not metaphorical, multiword expression
Euphorbia sikkimensis, not metaphorical, multiword expression
Osteospermum Cape Daisy Series, metaphorical, multiword expression
Lodgepole pine, not metaphorical, multiword expression
Cytisus scoparius f. andreanus, not metaphorical, multiword expression
Ragrant Angel, not metaphorical, multiword expression
White Profusion, metaphorical, multiword expression
Green wizard, metaphorical, multiword expression
Symphytum caucasicum, not metaphorical, multiword expression
Arctotheca calendula, not metaphorical, multiword expression
Matthew Yates, not metaphorical, multiword expression
Sweet woodruﬀ, metaphorical, multiword expression
Gran’s favourite, metaphorical, multiword expression
Shirasawanum, not metaphorical, not multiword expression
Autumn Glory, metaphorical, multiword expression
Indian bean tree, not metaphorical, multiword expression
Kalanchoe fedtschenkoi, not metaphorical, multiword expression
Pride of India, metaphorical, multiword expression
Riesenschirm, not metaphorical, not multiword expression
Wekroalt, not metaphorical, not multiword expression
Albu, not metaphorical, not multiword expression
Latifolius Albomarginatus, not metaphorical, multiword expression
Grandchild, metaphorical, not multiword expression
Ribes speciosum, not metaphorical, multiword expression
Chilean bamboo, not metaphorical, multiword expression
Gaura lindheimeri, not metaphorical, multiword expression
Thompsonii, not metaphorical, not multiword expression
Porcelain, metaphorical, not multiword expression
Alpine lady’s mantle, metaphorical, multiword expression
Dame’s rocket, metaphorical, multiword expression
Loquat, not metaphorical, not multiword expression
Penstemon, not metaphorical, not multiword expression
Pyrus salicifolia, not metaphorical, multiword expression
Daisy bush, metaphorical, multiword expression
Hyacinthoides nonscript, metaphorical, multiword expression
Rosary vine, not metaphorical, multiword expression
Mexican stone pine, not metaphorical, multiword expression
Zinnia elegans serie, metaphorical, multiword expression
Red spider lily, metaphorical, multiword expression
Malva moschata, not metaphorical, multiword expression
J.C. Williams, not metaphorical, multiword expression
Group Warneckei, not metaphorical, multiword expression
Brachyscome iberidifolia, not metaphorical, multiword expression
Ellen Huston, not metaphorical, multiword expression
Sweet rocket, metaphorical, multiword expression
Gingers, not metaphorical, not multiword expression
Gentiana verna, not metaphorical, multiword expression
Texas walnut, not metaphorical, multiword expression
Cotoneaster divaricatus, not metaphorical, multiword expression
Buckeye belle, metaphorical, multiword expression
Liriodendron tulipifera, not metaphorical, multiword expression
Lithops pseudotruncatella, not metaphorical, multiword expression
Zauschneria califórnica, not metaphorical, multiword expression
Trollius x cultorum, not metaphorical, multiword expression
Curcuma zedoaria, not metaphorical, multiword expression
Chirita lavandulacea, not metaphorical, multiword expression
Geranium clarkei, not metaphorical, multiword expression
Euphorbia pulcherrima, not metaphorical, multiword expression
Aaron’s beard, metaphorical, multiword expression
Chilean ﬁrebush, metaphorical, multiword expression
Juniperus recurva var. Coxii, not metaphorical, multiword expression
Mazzard, not metaphorical, not multiword expression
Wendy, metaphorical, not multiword expression
Lutescens, not metaphorical, not multiword expression
Feather-top, metaphorical, multiword expression
Jeffersonia dubia, not metaphorical, multiword expression
Sibirica Variegata, not metaphorical, multiword expression
Zinnia x marylandica, not metaphorical, multiword expression
Fyrverkeri, metaphorical, not multiword expression
Paul Boissier, not metaphorical, multiword expression
Polianthes geminiﬂora, not metaphorical, multiword expression
Rebutia ﬁebrigii, not metaphorical, multiword expression
Sycamore, not metaphorical, not multiword expression
Robert Fortune, metaphorical, multiword expression
Balumhopi, not metaphorical, not multiword expression
Striped squill, metaphorical, multiword expression
Pinus halepensis, not metaphorical, multiword expression
Eremurus x isabellinus, not metaphorical, multiword expression
Columna, metaphorical, not multiword expression
Happy single wink, metaphorical, multiword expression
Early Sensation, metaphorical, multiword expression
Juniperus horizontalis, not metaphorical, multiword expression
Grand cru, not metaphorical, multiword expression
Fulgens, not metaphorical, not multiword expression
Anemone narcissiﬂora, not metaphorical, multiword expression
Calico ﬂower, not metaphorical, multiword expression
Lady Wilson, not metaphorical, multiword expression
California bluebell, metaphorical, multiword expression
Griselinia littoralis, not metaphorical, multiword expression
Caucasian ﬁr, not metaphorical, multiword expression
Japanese umbrella pine, not metaphorical, multiword expression
Geranium pratense, not metaphorical, multiword expression
Kardynal Wyszynski, not metaphorical, multiword expression
Quercus castaneifolia, not metaphorical, multiword expression
Sarracenia flava, metaphorical, multiword expression
Lily the Pink, metaphorical, multiword expression
Tillandsia stricta, not metaphorical, multiword expression
Melianthus major, not metaphorical, multiword expression
Oncidium Artur Elle gx, not metaphorical, multiword expression
Red valerian, not metaphorical, multiword expression
Wand ﬂower, not metaphorical, multiword expression
B. J. Beauty, metaphorical, multiword expression
Wild iris, metaphorical, multiword expression
Floral Dance Series, metaphorical, multiword expression
Brunfelsia pauciﬂora, not metaphorical, multiword expression
Leucanthemella serotine, not metaphorical, multiword expression
Eremurus robustus, not metaphorical, multiword expression
Tropaeolum majus, not metaphorical, multiword expression
Chocolate rufﬂes, metaphorical, multiword expression
Puya chilensis, not metaphorical, multiword expression
Hoya carnosa, metaphorical, multiword expression
Lamb’s ears, metaphorical, multiword expression
Lonicera tragophylla, not metaphorical, multiword expression
Choisya ternate, not metaphorical, multiword expression
Tiger-jaws, metaphorical, multiword expression
Friedrichsenii, not metaphorical, not multiword expression
Ligustrum, not metaphorical, not multiword expression
Grevillea, not metaphorical, not multiword expression
Imperial Frosty Rose, metaphorical, multiword expression
Justicia carnea, metaphorical, multiword expression
Saratoga Series, not metaphorical, multiword expression
Forsythia x intermedia, not metaphorical, multiword expression
Shrimp plant, metaphorical, multiword expression
Mrs. Bernard Jon, not metaphorical, multiword expression
Cobaea scandens, not metaphorical, multiword expression
Gran paradiso, metaphorical, not multiword expression
Alliaceae, not metaphorical, not multiword expression
Meconopsis cambric, metaphorical, multiword expression
Schoenoplectus lacustris, not metaphorical, multiword expression
Cupressus cashmeriana, not metaphorical, multiword expression
Hopleys Variegated, metaphorical, multiword expression
Crinum bulbispermum, not metaphorical, multiword expression
Shirotae, not metaphorical, not multiword expression
Fritillaria imperialis, not metaphorical, multiword expression
Black chokeberry, not metaphorical, multiword expression
Amur maple, not metaphorical, multiword expression
Armeria pseudarmeria, not metaphorical, multiword expression
Grandiceps, not metaphorical, multiword expression
Liberty Yellow, not metaphorical, multiword expression
Engelmann spruce, not metaphorical, multiword expression
Rock rose, metaphorical, multiword expression
Ipomoea tricolor, not metaphorical, multiword expression
Deschampsia cespitosa, not metaphorical, multiword expression
Alice du Pont, not metaphorical, multiword expression
Cyperus involucratus, not metaphorical, multiword expression
Pinus muricata, not metaphorical, multiword expression
Heart of darkness, metaphorical, multiword expression
Blue pearl, metaphorical, multiword expression
Ipheion uniﬂorum, not metaphorical, multiword expression
Lace cactus, metaphorical, multiword expression
Falling raindrops, metaphorical, multiword expression
Mourning widow, metaphorical, multiword expression
Coprosma x kirkii, not metaphorical, multiword expression
Hare’s-tail grass, metaphorical, multiword expression
Harkuly, not metaphorical, not multiword expression
Incarvillea mairei, not metaphorical, multiword expression
Shirley, not metaphorical, not multiword expression
Galanthus gracilis, metaphorical, multiword expression
Viola tricolor, not metaphorical, multiword expression
Schizophragma integrifolium, not metaphorical, multiword expression
Dicentra cucullaria, not metaphorical, multiword expression
Trillium sessile, not metaphorical, multiword expression
Tagetes Gold Coins Series, not metaphorical, multiword expression
Garden Treasure, metaphorical, multiword expression
Southern Comfort, metaphorical, multiword expression
Ipomoea lobata, not metaphorical, multiword expression
Ginger Ale, not metaphorical, multiword expression
Erythrocarpum, not metaphorical, not multiword expression
Surfinia lime, not metaphorical, multiword expression
Ourisia microphylla, not metaphorical, multiword expression
Maculata, not metaphorical, not multiword expression
Chinese fountain palm, metaphorical, multiword expression
Kerbelpice, not metaphorical, not multiword expression
Hordeum jubatum,  not metaphorical, multiword expression
Spring gentian, not metaphorical, multiword expression
Argyranthemum, not metaphorical, not multiword expression
Quercus agrifolia, not metaphorical, multiword expression
Pachycereus pringlei, not metaphorical, multiword expression
Lophophora williamsii, not metaphorical, multiword expression
Silver inch plant, metaphorical, multiword expression
Salpiglossis sinuata Series, not metaphorical, multiword expression
Japanese white pine, not metaphorical, multiword expression
Centropogon ferruginensis, not metaphorical, multiword expression
Dragon tree, metaphorical, multiword expression
Euonymus fortune, metaphorical, multiword expression
Dierama pulcherrimum, not metaphorical, multiword expression
Eddie’s White Wonder, metaphorical, multiword expression
Andenken an Ludwig Späth, not metaphorical, multiword expression
Cerro Potosi, not metaphorical, multiword expression
Globularia meridionalis, not metaphorical, multiword expression
Jeﬀrey pine, not metaphorical, multiword expression
Azara serrata, not metaphorical, multiword expression
Agrostemma githago, not metaphorical, multiword expression
Ursinia anthemoides, not metaphorical, multiword expression
Noatraum, not metaphorical, multiword expression
Ikon white blush, metaphorical, multiword expression
Black-eyed Susan vine, metaphorical, multiword expression
Donation, metaphorical, not multiword expression
Alpinia zerumbet, not metaphorical, multiword expression
Rosa moyesii, not metaphorical, multiword expression
Donald Lowndes, not metaphorical, multiword expression
White snakeroot, metaphorical, multiword expression
Harmantelle, not metaphorical, not multiword expression
Dove, metaphorical, not multiword expression
Quercus x turneri, not metaphorical, multiword expression
Kalanchoe tomentosa, not metaphorical, multiword expression
Anemone tschaernjaewii, not metaphorical, multiword expression
C. ﬂorida, not metaphorical, multiword expression
Disanthus cercidifolius, not metaphorical, multiword expression
Honey spurge, metaphorical, multiword expression
Lantana camara Lucky Series, metaphorical, multiword expression
Ami Pasquier, not metaphorical, multiword expression
Fritillaria pontica, not metaphorical, multiword expression
Chaenomeles speciose, not metaphorical, multiword expression
Dovastonii Aurea, metaphorical, multiword expression
Phragmipedium besseae, not metaphorical, multiword expression
Orange Pixie, not metaphorical, multiword expression
Tropaeolum tuberosum, not metaphorical, multiword expression
Sandersii, not metaphorical, not multiword expression
Cypella herbertii, not metaphorical, multiword expression
Calceolaria integrifolia, not metaphorical, multiword expression
Pencrebar, not metaphorical, not multiword expression
Innocence, metaphorical, not multiword expression
Citrofortunella microcarpa, metaphorical, multiword expression
Aeonium, not metaphorical, not multiword expression
Marmalade, metaphorical, not multiword expression
Solenostemon, not metaphorical, not multiword expression
Eucomis pallidiﬂora, not metaphorical, multiword expression
Willow myrtle, not metaphorical, multiword expression
Fritz Lüthi, not metaphorical, multiword expression
Abelia x grandiflora, not metaphorical, multiword expression
Malephora crocea, not metaphorical, multiword expression
Pickwick, not metaphorical, not multiword expression
Crinum moorei, not metaphorical, multiword expression
Stokesia laevis, not metaphorical, multiword expression
Choir Boy, metaphorical, multiword expression
Rebutia arenacea, not metaphorical, multiword expression
Cimicifuga simplex, not metaphorical, multiword expression
Baneberry, not metaphorical, not multiword expression
Windmill palm, not metaphorical, multiword expression
Allium Akaka, not metaphorical, multiword expression
Lady Bowes Lyon, not metaphorical, multiword expression
Dragonﬂy, metaphorical, not multiword expression
Feverfew, not metaphorical, not multiword expression
Gunnera manicata, metaphorical, multiword expression
Photinia davidiana, not metaphorical, multiword expression
Vaccinium glaucoalbum, not metaphorical, multiword expression
Ice Maiden, metaphorical, multiword expression
Convexa, not metaphorical, not multiword expression
Cissus striata, not metaphorical, multiword expression
Bellona, not metaphorical, not multiword expression
Maidenhair tree, not metaphorical, multiword expression
Peach Flambe, not metaphorical, multiword expression
Tasmanian snow gum, metaphorical, multiword expression
Bald cypress, not metaphorical, multiword expression
Triteleia hyacinthine, not metaphorical, multiword expression
Trachelospermum jasminoides, not metaphorical, multiword expression
Briza máxima, not metaphorical, multiword expression
Mandarin Orange, not metaphorical, multiword expression
Tree peony, not metaphorical, multiword expression
Friendship, metaphorical, not multiword expression
Grevillea banksia, not metaphorical, multiword expression
Sword fern, metaphorical, multiword expression
Neillia thibetica, not metaphorical, multiword expression
Colorata, metaphorical, not multiword expression
Passiflora coccinea, not metaphorical, multiword expression
Cardinal Vaughan, not metaphorical, multiword expression
Allium cernuum, not metaphorical, multiword expression
Hindhead seedling, metaphorical, multiword expression
Ovens wattle, not metaphorical, multiword expression
Bunting, metaphorical, not multiword expression
Tupelo, not metaphorical, not multiword expression
Kohleria eriantha, not metaphorical, multiword expression
Malay Beauty, metaphorical, multiword expression
Throatwort, not metaphorical, multiword expression
Rothschildianum, metaphorical, multiword expression
Harry Lauder's walking stick, metaphorical, multiword expression
Garden news, metaphorical, multiword expression
Castor bean, metaphorical, multiword expression
Goldﬂame, metaphorical, not multiword expression
Warminster broom, metaphorical, multiword expression
Everlasting pea, metaphorical, multiword expression
Shortia galacifolia, not metaphorical, multiword expression
Androsace carnea, not metaphorical, multiword expression
Bright Star, metaphorical, multiword expression
Acer macrophyllum, not metaphorical, multiword expression
Red Caroline, not metaphorical, multiword expression
Aciphylla squarrosa, not metaphorical, multiword expression
Tradescantia sillamontana, not metaphorical, multiword expression
Northern maidenhair fern, not metaphorical, multiword expression
Andenken an Friedrich Hahn, not metaphorical, multiword expression
Cotton ball, metaphorical, multiword expression
Akebia quinata, not metaphorical, multiword expression
Harpiccolo, not metaphorical, not multiword expression
Galanthus nivalis, not metaphorical, multiword expression
Fly honeysuckle, metaphorical, multiword expression
Raven, metaphorical, not multiword expression
Salvia splendens Vista Series, not metaphorical, multiword expression
Cuprocyparis leylandii, not metaphorical, multiword expression
Mimulus Magic Series, metaphorical, multiword expression
Syringa vulgaris, not metaphorical, multiword expression
Polemonium carneum, not metaphorical, multiword expression
Cream Beauty, metaphorical, multiword expression
Wire-netting bush, not metaphorical, multiword expression
Prunus laurocerasu, not metaphorical, multiword expression
Always Afternoon, metaphorical, multiword expression
Ornithogalum narbonense, not metaphorical, multiword expression
Cyphomandra betacea, not metaphorical, multiword expression
Anemone x hybrid, not metaphorical, multiword expression
Picea engelmannii, not metaphorical, multiword expression
Pancratium illyricum, not metaphorical, multiword expression
Rebutia minúscula, not metaphorical, multiword expression
Deep Black, metaphorical, multiword expression
Browallia speciose, not metaphorical, multiword expression
Calliandra haematocephala, not metaphorical, multiword expression
Pinus radiata, metaphorical, multiword expression
Bishop’s weed, metaphorical, multiword expression
Kashmir cypress, not metaphorical, multiword expression
Pink Delight, metaphorical, multiword expression
Prunus mum, not metaphorical, multiword expression
Pseudopanax ferox, not metaphorical, multiword expression
Centaurea cyanus, not metaphorical, multiword expression
Colutea x media, not metaphorical, multiword expression
Devon dove, not metaphorical, multiword expression
Radar, metaphorical, not multiword expression
Grindelia chiloensis, not metaphorical, multiword expression
Sand phlox, not metaphorical, multiword expression
Doryanthes palmeri, not metaphorical, multiword expression
Tetranema roseum, not metaphorical, multiword expression
Mark, not metaphorical, not multiword expression
Jenkinsiae, not metaphorical, not multiword expression
Million bells cherry pink, metaphorical, multiword expression
Dog-tooth violet, metaphorical, multiword expression
Diascia personata, not metaphorical, multiword expression
Cornus sanguinea, metaphorical, multiword expression
Patagonian cypress, not metaphorical, multiword expression
Cercis Canadensis, not metaphorical, multiword expression
Shogetsu, not metaphorical, not multiword expression
Alice Artindale, not metaphorical, multiword expression
Pulcherrimum Bevis, not metaphorical, multiword expression
